Pais,EsperanzaDeVida,InversionSalud,InversionEducacion
Aruba,76.226,,
Africa Eastern and Southern,64.48701955,5.657044686,3.697668021
Afghanistan,65.617,23.0881691,
Africa Western and Central,57.98781339,4.219883437,2.891687446
Angola,64.246,2.92737579,2.385358984
Albania,78.769,6.19368076,2.729769945
Andorra,84.016,7.53678846,2.647279978
Arab World,71.8760956,4.44056741,
United Arab Emirates,80.487,4.67550945,
Argentina,75.806,9.86305332,4.792630196
Armenia,74.76585366,9.96212864,2.491899967
American Samoa,72.752,,
Antigua and Barbuda,77.483,5.7299943,2.503687556
Australia,83.2,9.92687893,5.059160233
Austria,81.29512195,11.15729332,5.277480125
Azerbaijan,74.125,3.97840643,3.046900034
Burundi,62.882,8.39522648,
Belgium,81.74878049,10.76192474,6.277969837
Benin,60.475,2.67981386,3.097264268
Burkina Faso,60.7,6.77182007,5.294567533
Bangladesh,74.265,2.39038587,2.085386578
Bulgaria,74.16097561,7.66357517,4.50109005
Bahrain,80.992,3.83745313,1.711921271
"Bahamas, The",74.491,7.21692038,2.623670214
Bosnia and Herzegovina,76.777,8.71644783,2.970129864
Belarus,74.10336585,6.65919876,4.628230095
Belize,72.19,4.23173904,4.604159832
Bermuda,82.062,,1.775833389
Bolivia,67.434,8.43142891,7.575500011
Brazil,74.872,9.14277458,5.619229794
Barbados,75.676,6.29389191,4.14000988
Brunei Darussalam,72.917,1.81768215,
Bhutan,72.754,4.38545895,7.469819803
Botswana,68.749,5.72838593,
Central African Republic,18.818,9.95509052,2.115091295
Canada,81.24536585,11.23432541,4.880219936
Central Europe and the Baltics,76.65229873,7.02822298,4.316464901
Switzerland,83.60487805,11.70653343,4.924190044
Channel Islands,81,,
Chile,79.176,10.06172848,4.897530079
China,78.202,5.36948681,
Cote d'Ivoire,61.562,3.6424129,3.511970043
Cameroon,62.443,4.47835922,2.659523783
"Congo, Dem. Rep.",60.979,3.78614616,2.844665145
"Congo, Rep.",65,2.19224548,2.727382533
Colombia,76.508,7.57361269,
Comoros,66.481,8.3803854,2.431644241
Cabo Verde,75.907,6.67440224,4.72525548
Costa Rica,79.316,7.18368196,
Caribbean small states,72.83229211,5.695985838,2.673310041
